review_id,stars,date,title,text,version,vote_count,app_id,app_name
13439398579,1,2025-11-25,Misrepresentation,"They claim they’ll do the laundry for you while you get the choice. Most of their items are out of stock if they’re any good. A lot of their inventory is several years old and the clothes look like it when they arrive. And you will be doing laundry - the minute you unzip that bag, it will stink of everything from body odor to cigarette smoke or be covered in pet hair, pills, or damage. They do not do any laundry. I had this service for six months and each time I received my bag, I had to spend a day shaving pills, dry cleaning washing, lint, rolling, and ironing before I could even try these clothes on. They were in such bad condition or stank badly. Most were unbearable and had to stay in the bag zipped up tight for a month just to control the odors.",1.60.0,2,1511548818,Nuuly
13428705274,5,2025-11-22,Get it!,"I love this, wore to a football game and got so many compliments. It’s a pretty vibrant red and very comfy but doesn’t make you look puffy as well",1.60.0,0,1511548818,Nuuly
13400573004,5,2025-11-15,Love this sweater,Fun sweater and goes with so many fits.,1.60.0,0,1511548818,Nuuly
13397696751,5,2025-11-14,Perfect fit & Feel,"Great on its own or as a layering piece. Medium is perfect for my 5’8” 160 lb frame. Sleeves are a good length for longer arms as well. Non wrinkling so great to stuff in a bag for travel, too.",1.60.0,0,1511548818,Nuuly
13394847736,5,2025-11-13,Closet Builder,I’m a SAHM of a special needs child so I can’t spend anytime trying new clothes and with this app I can pick outfits look fun and refreshed and if I like it cheap keeps or send it back and get the next thing. Great for the one off events my kid has or holidays when I need a nicer outfit that I don’t want to really spend on cause it’s only one day,1.60.0,0,1511548818,Nuuly
13392928675,5,2025-11-13,Absolutely OBSESSED!!,I LOVE Nuuly so much!!!! It’s well worth the price. There is such a big selection to choose from and the customer support is top notch.,1.60.0,0,1511548818,Nuuly
13386403062,3,2025-11-11,Limited inventory,I like ease and the style of nuuly but most items in my size are unavailable making it difficult to quickly curate And check out. Seems like more inventory is needed so items are not so limited,1.60.0,0,1511548818,Nuuly
13382127781,3,2025-11-10,Improve App,I love this service. I have been on a weight loss journey and this is so helpful for trying and having clothes for work.   The app really stinks though. It never works for me. I love to browse but it literally won’t let me scroll on the app. Please work on this.,1.60.0,0,1511548818,Nuuly
13364364749,3,2025-11-06,Substitution process is frustrating,"I’ve been using Nuuly for over 5 years. Overall I like the service, but more and more often items I choose for my box are unavailable and automatically substituted for something completely different. There is no notification that an item is unavailable until the automatic substitution is completed and there’s no way to change it. Usually these are items needed for a specific reason that now I need to source elsewhere. I would prefer if they aren’t going to let us choose something that they at least pick from my saved items.",1.60.0,0,1511548818,Nuuly
13364360745,3,2025-11-06,"Good service, bad app","They need to extend the label for each item so you can tell whether the listing is a top, bottom, dress, etc.  or visibly tag the items!  I’m annoyed at having to click into every listing just to see that it’s not the item I thought I was looking at.",1.60.0,0,1511548818,Nuuly
